PC1,PC2,PC3,class
-82.79392050789477,36.13880298614307,28.783629494660016,1
-86.20462409465537,46.303035782103066,8.61978988811381,1
-74.2587756436575,56.96109782623389,-17.64292637016404,1
-85.92814927409688,35.24903144015979,2.01491821818718,1
46.03213010236493,42.46735244651291,58.986759350117474,2
8.10570013906418,-101.62554125773484,-49.18463439455755,2
39.51660025366307,-80.40681555478604,-52.28295342296891,2
49.061006603297194,40.78881860229717,43.74804865804149,2
161.26088815717205,110.40670255828017,-37.810165520043874,2
27.87691973332625,-42.87819492533862,36.96882173952199,3
17.783039331178824,-40.75767584370584,39.23206927444303,3
10.175865518718865,-50.32883511290573,40.56589717140227,3
23.57609310023973,-35.51030173605783,17.901942925219483,3
-0.07718878460667664,-27.30050481032523,32.01173801976164,3
9.045446990988856,-35.813925863886645,28.284174630295226,3
-27.61929170468492,2.4218264609943336,-44.05659532578097,4
-37.68658538798291,-0.5521472591541058,-45.88550915394615,4
9.354368866286874,26.63234601222439,-43.71697112845117,4
-7.219523398721839,17.804928248946084,-46.53803405385087,4
